COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-992533_Q	Coordinated Tuning of Power System Stabilizers Using Bio-Inspired Algorithms
COMPLETEPAPER-992534_Q	An optimal power flow based on safety barrier interior point method
COMPLETEPAPER-992929_Q	Effect of IGF1
COMPLETEPAPER-993282_Q	Palladium and palladium&#45;tin supported on multi wall carbon nanotubes or carbon for alkaline direct ethanol fuel cell
COMPLETEPAPER-995410_Q	Immediate effects of low-intensity laser (808nnm) on fatigue and strength of spastic muscle
COMPLETEPAPER-996915_Q	Transcription of innate immunity genes and cytokine secretion by canine macrophages resistant or susceptible to intracellular survival of Leishmania infantum
COMPLETEPAPER-998472_Q	Algebraic constructions of densest lattices
COMPLETEPAPER-998788_Q	Cross diffusion effects in the interfacial mass and heat transfer of multicomponent droplets
COMPLETEPAPER-1000759_Q	Stability and structural changes of horseradish peroxidase: Microwave versus conventional heating treatment
COMPLETEPAPER-1001986_Q	Validation of HPLC and CE methods for determination of organic acids in sour cassava starch wastewater
COMPLETEPAPER-1003666_Q	Thick brane models in generalized theories of gravity
COMPLETEPAPER-1004222_Q	Didanosine-loaded chitosan microspheres optimized by surface-response methodology: A modified -Maximum Likelihood Classification- approach formulation for reverse transcriptase inhibitors
COMPLETEPAPER-1009820_Q	In vitro antimicrobial activity of solution blow spun poly(lactic acid)/polyvinylpyrrolidone nanofibers loaded with Copaiba (Copaifera sp
COMPLETEPAPER-1010156_Q	Halloysite clay and carboxyl-functionalized multi-walled carbon nanotubes used for recombinant LipL32 antigen delivery enhance the IgG response
COMPLETEPAPER-1012118_Q	Behavior of Listeria monocytogenes in a multi-species biofilm with Enterococcus faecalis and Enterococcus faecium and control through sanitation procedures
COMPLETEPAPER-1012119_Q	Biofilms of Enterococcus faecalis and Enterococcus faecium isolated from the processing of ricotta and the control of these pathogens through cleaning and sanitization procedures
COMPLETEPAPER-1012380_Q	Functionalization of Luminescent YVO4:Eu3+ Nanoparticles by Sol-Gel
COMPLETEPAPER-1013987_Q	Solid-state fermentation of coconut kernel-cake as substrate for the production of lipases by the coconut kernel-associated fungus Lasiodiplodia theobromae VBE-1
COMPLETEPAPER-1013988_Q	Free-radical scavenging properties and antioxidant activities of botryosphaeran and some other &#946;-D-glucans
COMPLETEPAPER-1013989_Q	Biological activities of derivatized d-glucans: A review
COMPLETEPAPER-1016053_Q	Detrital zircon U-Pb geochronology and whole-rock Nd-isotope constraints on sediment provenance in the Neoproterozoic Sergipano orogen
COMPLETEPAPER-1022871_Q	REM Sleep Deprivation Reverses Neurochemical and Other Depressive-Like Alterations Induced by Olfactory Bulbectomy
COMPLETEPAPER-1022976_Q	Influence of synthetic inlet turbulence on the prediction of low Mach number flows
COMPLETEPAPER-1026171_Q	Raman spectroscopy as a tool in differentiating conjugated polyenes from synthetic and natural sources
COMPLETEPAPER-1029162_Q	Temporal variability and covariance structures of soil temperature in a sugarcane field under different management practices in southern Brazil
COMPLETEPAPER-1030222_Q	Simultaneous analysis of 10 polycyclic aromatic hydrocarbons in roasted coffee by isotope dilution gas chromatography-mass spectrometry: Optimization
COMPLETEPAPER-1031382_Q	Traditional Risk Factors Are More Relevant than HIV-Specific Ones for Carotid Intima-Media Thickness (cIMT) in a Brazilian Cohort of HIV-Infected Patients
COMPLETEPAPER-1033777_Q	Migraine is associated with altered levels of neurotrophins
COMPLETEPAPER-1033971_Q	Photodynamic antimicrobial chemotherapy on Streptococcus mutans using curcumin and toluidine blue activated by a novel LED device
COMPLETEPAPER-1034678_Q	School canteens in the Federal District
COMPLETEPAPER-1035566_Q	Biohydroxylation of (&#8722;)-Ambrox
COMPLETEPAPER-1036940_Q	Enhancing of sugar cane bagasse hydrolysis by Annulohypoxylon stygium glycohydrolases
COMPLETEPAPER-1040441_Q	Decreased centrality of subcortical regions during the transition to adolescence: A functional connectivity study
COMPLETEPAPER-1040517_Q	Mechanisms of insulin resistance in the amygdala: Influences on food intake
COMPLETEPAPER-1040642_Q	Frame-based stereotactic neurosurgery in children under the age of seven: Freiburg University's experience from 99 consecutive cases
COMPLETEPAPER-1040854_Q	Evaluation of Myofascial Trigger Points Using Infrared Thermography: A Critical Review of the Literature
COMPLETEPAPER-1041856_Q	DIFFERENT SWEETENERS IN PASSION FRUIT JUICE:IDEAL
COMPLETEPAPER-1041857_Q	Passion fruit juice with different sweeteners: sensory profile by descriptive analysis and acceptance
COMPLETEPAPER-1043523_Q	Immunodiagnosis of Paracoccidioidomycosis due to Paracoccidioides brasiliensis Using a Latex Test: Detection of Specific Antibody Anti-gp43 and Specific Antigen gp43
COMPLETEPAPER-1043524_Q	Low-level Laser Therapy to the Mouse Femur Enhances the Fungicidal Response of Neutrophils against Paracoccidioides brasiliensis
COMPLETEPAPER-1049213_Q	Reducing substance involvement in college students: A three-arm parallel-group randomized controlled trial of a computer-based intervention
COMPLETEPAPER-1052085_Q	Production of fermentable sugars from sugarcane bagasse by enzymatic hydrolysis after autohydrolysis and mechanical refining
COMPLETEPAPER-1052980_Q	Plant growth and essential oil content of Mentha crispa inoculated with arbuscular mycorrhizal fungi under different levels of phosphorus
COMPLETEPAPER-1053299_Q	Effects of Phonophoresis and Gold Nanoparticles in Experimental Model of Muscle Overuse: Role of Oxidative Stress
COMPLETEPAPER-1054255_Q	Maternal immune activation in late gestation increases neuroinflammation and aggravates experimental autoimmune encephalomyelitis in the offspring
COMPLETEPAPER-1059572_Q	Thermodynamics of a bouncer model: A simplified one-dimensional gas
COMPLETEPAPER-1059574_Q	Transport and dynamical properties for a bouncing ball model with regular and stochastic perturbations
COMPLETEPAPER-1061424_Q	A time series model for building scenarios trees applied to stochastic optimisation
COMPLETEPAPER-1067189_Q	Evidence of morphological differences between Astyanax bimaculatus (Actinopterygii: Characidae) from reaches above and below dams on a tropical river
COMPLETEPAPER-1067190_Q	Equilibrium reproductive strategy of the armored catfish Hypostomus auroguttatus (Siluriformes
COMPLETEPAPER-1067192_Q	Fish assemblage structure on sandy beaches with different anthropogenic influences and proximity of spawning grounds
COMPLETEPAPER-1070877_Q	Particle Competition and Cooperation for Semi-Supervised Learning with Label Noise
COMPLETEPAPER-1070986_Q	Synthesis of a microhydrogel composite from cellulose nanowhiskers and starch for drug delivery
COMPLETEPAPER-1070987_Q	Water transport properties through starch-based hydrogel nanocomposites responding to both pH and a remote magnetic field
COMPLETEPAPER-1073417_Q	Eutrophication effects on phytoplankton size-fractioned biomass and production at a tropical estuary
COMPLETEPAPER-1073834_Q	Lifetime comparison of Y-TZP/porcelain crowns under different loading conditions
COMPLETEPAPER-1074356_Q	Flow-induced vibration of a circular cylinder in cross-flow at moderate Reynolds number
COMPLETEPAPER-1074845_Q	A New Device for Step-Down Inhibitory Avoidance Task Effects of Low and High Frequency in a Novel Device for Passive Inhibitory Avoidance Task That Avoids Bioimpedance Variations
COMPLETEPAPER-1078117_Q	Biomass from microalgae separation by electroflotation with iron and aluminum spiral electrodes
COMPLETEPAPER-1079001_Q	Inhibition of fermentative H2 production by hydrolysis byproducts ofnlignocellulosic substrates
COMPLETEPAPER-1079656_Q	Scientific research in obstructive sleep apnea syndrome: bibliometric analysis in SCOPUS
COMPLETEPAPER-1079661_Q	The effect of menopause on objective sleep parameters: Data from an epidemiologic study in Sao Paulo
COMPLETEPAPER-1079662_Q	The role of progesterone in memory: An overview of three decades
COMPLETEPAPER-1083197_Q	Integrated control of an acaricide-resistant strain of the cattle tick Rhipicephalus microplus by applying Metarhizium anisopliae associated with cypermethrin and chlorpyriphos under field conditions
COMPLETEPAPER-1103843_Q	ASIC3 Is Required for Development of Fatigue-Induced Hyperalgesia
COMPLETEPAPER-1104655_Q	Rietveld refinement and optical properties of SrWO4:Eu3+ powders prepared by the non-hydrolytic sol-gel method
COMPLETEPAPER-1104656_Q	A joint experimental and theoretical study on the electronic structure and photoluminescence properties of Al2(WO4)3 powders
COMPLETEPAPER-1105872_Q	Observed and simulated inter-decadal changes in the structure of Southern Hemisphere large-scale circulation
COMPLETEPAPER-1107580_Q	Dithranol-loaded lipid-core nanocapsules improve the photostability and reduce the in vitro irritation potential of this drug
COMPLETEPAPER-1108666_Q	A nanostructured genosensor for the early diagnosis of Systemic Arterial Hypertension
COMPLETEPAPER-1108668_Q	Poly(Vinyl Alcohol)-Coated Silver Nanoparticles: Activation Of Neutrophils And Nanotoxicology Effects In Human Hepatocarcinoma And Mononuclear Cells
COMPLETEPAPER-1113367_Q	Longitudinal analysis of endurance and respiratory function from a natural history study of Morquio A syndrome
COMPLETEPAPER-1113370_Q	Effects of Enzyme Replacement Therapy Started Late in a Murine Model of Mucopolysaccharidosis Type I
COMPLETEPAPER-1113374_Q	Genome Editing: Potential Treatment for Lysosomal Storage Diseases
COMPLETEPAPER-1113376_Q	Microarray-based comparative genomic hybridization analysis in neonates with congenital anomalies: detection of chromosomal imbalances
COMPLETEPAPER-1114905_Q	Defence-Related Enzymes in Soybean Resistance to Target Spot
COMPLETEPAPER-1114962_Q	Drying kinetics and hygroscopic behavior of pirarucu (Arapaima gigas) fillet with different salt contents
SPECIFIC_CHAPTER-1117910_Q	The Use of Sugarcane Bagasse-Based Green Materials for Sustainable Packaging Design
COMPLETEPAPER-1122235_Q	Formulations for hydroelectric energy production with optimality conditions
COMPLETEPAPER-1124542_Q	Development and characterization of a cationic lipid nanocarrier as non-viral vector for gene therapy
COMPLETEPAPER-1126612_Q	Delimiting Areas of Endemism through Kernel Interpolation
COMPLETEPAPER-1128556_Q	Characterization of Canadian propolis fractions obtained from two-step sequential extraction
COMPLETEPAPER-1128557_Q	Removal of tetracycline by NaOH-activated carbon produced from macadamia nut shells: Kinetic and equilibrium studies
COMPLETEPAPER-1128560_Q	Application of Response Surface Methodology for the Optimization of Ultrasound-Assisted Extraction of Pomegranate (Punica granatum L
COMPLETEPAPER-1130161_Q	Calibration Transfer Employing Univariate Correction and Robust Regression
COMPLETEPAPER-1130162_Q	Determination of naphtha composition by near infrared spectroscopy and multivariate regression to control steam cracker processes
COMPLETEPAPER-1130164_Q	Determination of detergent and dispensant additives in gasoline by ring-oven and near infrared hypespectral imaging
COMPLETEPAPER-1131764_Q	Modulation of adenosine signaling prevents scopolamine-induced cognitive impairment in zebrafish
COMPLETEPAPER-1134484_Q	Secretory activity of extrafloral nectaries shaping multitrophic ant-plant-herbivore interactions in an arid environment
COMPLETEPAPER-1135938_Q	Leucine supplementation does not affect protein turnover and impairs the beneficial effects of endurance training on glucose homeostasis in healthy mice
COMPLETEPAPER-1136035_Q	Phylogenetic relationships of Amazonian anole lizards (Dactyloa): Taxonomic implications
COMPLETEPAPER-1136439_Q	&#948;-FeOOH: a superparamagnetic material for controlled heat release under AC magnetic field
COMPLETEPAPER-1139001_Q	Spermatic and testicular damages in rats exposed to ethanol: Influence of lipid peroxidation but not testosterone
COMPLETEPAPER-1141149_Q	Ethnobotanical study of plants used for therapeutic purposes in the Atlantic Forest region
COMPLETEPAPER-1141727_Q	Peritrophic membrane origin in adult bees (Hymenoptera): Immunolocalization
COMPLETEPAPER-1143689_Q	Resistance to multiple foliar diseases in papaya genotypes in Brazil
COMPLETEPAPER-1145060_Q	The management of bee communities by intercropping with flowering basil (Ocimum basilicum) enhances pollination and yield of bell pepper (Capsicum annuum)
SPECIFIC_CHAPTER-1146120_Q	Microbiological Diversity of Peri-Implantitis Biofilms
COMPLETEPAPER-1150303_Q	Spinosad in the native stingless bee Melipona quadrifasciata: Regrettable non-target toxicity of a bioinsecticide
COMPLETEPAPER-1150390_Q	Nitrogen Starvation for Lipid Accumulation in the Microalga Species Desmodesmus sp
COMPLETEPAPER-1150391_Q	Using an internally heat-integrated distillation column for ethanol-water separation for fuel applications
COMPLETEPAPER-1151961_Q	Effects of low level laser therapy on attachment
COMPLETEPAPER-1151962_Q	Correlation of Six-Minute Walking Performance with Quality of Life is Domain- and Gender-Specific in Healthy Older Adults
COMPLETEPAPER-1151963_Q	The action of pre-exercisenlow-level laser therapy (LLLT) on the expression of IL-6 and TNF-&#945; proteins and on the functional fitness of elderly rats subjected to aerobic training
COMPLETEPAPER-1152251_Q	Unveiling the role of the pesticides paraquat and rotenone on &#945;-synuclein fibrillation in vitro
COMPLETEPAPER-1159352_Q	Effects of ayahuasca on the development of ethanol-induced behavioral sensitization and on a post-sensitization treatment in mice
COMPLETEPAPER-1164361_Q	The effects of the early carbonation curing on the mechanical and porosity properties of high initial strength Portland cement pastes
COMPLETEPAPER-1166426_Q	Immobilization and controlled release of &#946;-galactosidase from chitosan-grafted hydrogels
COMPLETEPAPER-1167807_Q	Development and characterization of edible films from mixtures of &#954;-carrageenan
COMPLETEPAPER-1171956_Q	Swimming exercise and diphenyl diselenide-supplemented diet affect the serum levels of pro- and anti-inflammatory cytokines differently depending on the age of rats
COMPLETEPAPER-1172910_Q	Increased circulating PEDF and low sICAM-1 are associated with sickle cell retinopathy
COMPLETEPAPER-1173578_Q	Bioactivity behaviour of nano-hydroxyapatite/freestanding aligned carbon nanotube oxide composite
COMPLETEPAPER-1173579_Q	Effect of gold oxide incorporation on electrochemical corrosion resistance of diamond-like carbon
COMPLETEPAPER-1173580_Q	Analysis of cellular adhesion on superhydrophobic and superhydrophilic vertically aligned carbon nanotube scaffolds
COMPLETEPAPER-1173785_Q	Use of Raman spectroscopy and chemometrics to distinguish blue ballpoint pen inks
COMPLETEPAPER-1177481_Q	Carbon sequestration and greenhouse gases emissions in soil under sewage sludge residual effects
COMPLETEPAPER-1177762_Q	Aldehydic load and aldehyde dehydrogenase 2 profile during the progression of post-myocardial infarction cardiomyopathy: Benefits of Alda-1
COMPLETEPAPER-1177955_Q	Immobility behavior during the forced swim test correlates with BNDF levels in the frontal cortex
COMPLETEPAPER-1179285_Q	Publish (in a group) or perish (alone): the trend from single- to multi-authorship in biological papers
COMPLETEPAPER-1179423_Q	Influence of partial saturation on total nitrogen removal in a single-stage French constructed wetland treating raw domestic wastewater
COMPLETEPAPER-1180771_Q	Poly(l-lactic acid) membranes: Absence of genotoxic hazard and potential for drug delivery
COMPLETEPAPER-1180885_Q	Update on the role of Angiotensin in the pathophysiology of coronary atherothrombosis
COMPLETEPAPER-1181303_Q	Inhibitory effect on the uptake and diffusion of Cd2+ onto soybean hull sorbent in Cd-Pb binary sorption systems
COMPLETEPAPER-1185978_Q	The dynamics of physical exercise-induced increases in thalamic and abdominal temperatures are modified by central cholinergic stimulation
COMPLETEPAPER-1187425_Q	Energy harvesting in a nonlinear piezomagnetoelastic beam subjected to random excitation
COMPLETEPAPER-1187428_Q	Nonlinear dynamics and chaos in shape memory alloy systems
COMPLETEPAPER-1188368_Q	Wearable temporary tattoo sensor for real-time trace metal monitoring in human sweat
COMPLETEPAPER-1194299_Q	Gender differences and disabilities of perceived depression in the workplace
COMPLETEPAPER-1194661_Q	FTO gene variants are not associated with polycystic ovary syndrome in women from Southern Brazil
COMPLETEPAPER-1201266_Q	Characterization of aluminum hydroxide (Al(OH)3) for use as a porogenic agent in castable ceramics
COMPLETEPAPER-1205916_Q	Early hematological and immunological alterations in gasoline station attendants exposed to low benzene levels
COMPLETEPAPER-1206130_Q	Effect of aerobic training and aerobic and resistance training on the inflammatory status of hypertensive older adults
COMPLETEPAPER-1208713_Q	Transcranial direct current stimulation in the prophylactic treatment of migraine based on interictal visual cortex excitability abnormalities: A pilot randomized controlled trial
COMPLETEPAPER-1209879_Q	Bee-flower association in the Neotropics: implications to bee conservation and plant pollination
COMPLETEPAPER-1213937_Q	Review of feeding ecology data of Late Pleistocene mammalian herbivores from South America and discussions on niche differentiation
COMPLETEPAPER-1216553_Q	Microbiological aspects of biodiesel and biodiesel/diesel blends biodeterioration
COMPLETEPAPER-1216554_Q	Intercropped Silviculture Systems
COMPLETEPAPER-1218496_Q	Engineering approach for circumferential flaws in girth weld pipes subjected to bending load
COMPLETEPAPER-1218497_Q	An Engineering Methodology for Constraint Corrections of Elastic-Plastic Fracture Toughness - Part I: A Review on Probabilistic Models and Exploration of Plastic Strain Effects
COMPLETEPAPER-1218498_Q	Delamination Effects on Fracture Behavior of a Pipeline Steel: A Numerical Investigation of 3-D Crack Front Fields and Constraint
COMPLETEPAPER-1218788_Q	Vegetative rescue and cloning of Eucalyptus benthamii selected adult trees
COMPLETEPAPER-1220130_Q	Environmental effects on the gills and blood of Oreochromis niloticus exposed to rivers of Bahia
COMPLETEPAPER-1223458_Q	Operational interactions between South American sea lions and gillnet fishing in southern Brazil
COMPLETEPAPER-1227785_Q	The use of halloysite clay and carboxyl-functionalised multi-walled carbon nanotubes for recombinant LipL32 antigen delivery enhanced the IgG response
COMPLETEPAPER-1234637_Q	Optimizing the synthesis of cobalt aluminate pigment using fractional factorial design
COMPLETEPAPER-1234994_Q	Multimodal MRI-Based Study in Patients with SPG4 Mutations
COMPLETEPAPER-1235509_Q	Interplay between bulk atomic clusters and surface structure in complex intermetallic compounds: The case study of the Al 5 Co 2 (001) surface
COMPLETEPAPER-1235762_Q	Neutralising antibodies for Mayaro virus in Pantanal
COMPLETEPAPER-1238509_Q	How much do sod-based rotations reduce nitrate leaching in a cereal cropping system?
COMPLETEPAPER-1244171_Q	Short-term physiological changes in roots and leaves of sugarcane varieties exposed to H2O2 in root medium
COMPLETEPAPER-1246667_Q	Waiting time to radiotherapy as a prognostic factor for glioblastoma patients in a scenario of medical disparities
COMPLETEPAPER-1251254_Q	Effects of auditory stimulation with music of different intensities on heart period
COMPLETEPAPER-1251734_Q	Development of Lycopene-Loaded Lipid-Core Nanocapsules: Physicochemical Characterization and Stability Study
COMPLETEPAPER-1254278_Q	Improvement of the skeletal and dental hypophosphatasia phenotype in Alpl&#8722;/&#8722; mice by administration of soluble (non-targeted) chimeric alkaline phosphatase
COMPLETEPAPER-1255453_Q	Biodegradation kinetics of benzene
COMPLETEPAPER-1255454_Q	Enhancement of a solar photo-Fenton reaction with ferric-organic ligands for the treatment of acrylic-textile dyeing wastewater
COMPLETEPAPER-1256597_Q	Assessment of the BTEX Concentrations and Reactivity in a Confined Parking Area in Rio de Janeiro
COMPLETEPAPER-1260109_Q	Empirically derived dietary patterns: interpretability and construct validity according to different factor rotation methods
COMPLETEPAPER-1265095_Q	Whole rice bran stabilization using a short chain organic acid mixture
COMPLETEPAPER-1267640_Q	Size effect and minimum chip thickness in micromilling
COMPLETEPAPER-1270163_Q	Efficient Near-Optimum Detectors for Large MIMO Systems Under Correlated Channels
COMPLETEPAPER-1271231_Q	Novel Recombinant Multiepitope Proteins for the Diagnosis of Asymptomatic Leishmania infantum-Infected Dogs
COMPLETEPAPER-1280575_Q	Interoperability Issues on Heterogeneous Wireless Communication for Smart Cities
COMPLETEPAPER-1281495_Q	Occurrences of antibodies to Toxoplasma gondii and its isolation and genotyping in donkeys
COMPLETEPAPER-1283019_Q	Psychophysiological correlates of cognitive deficits in family caregivers of patients with Alzheimer Disease
COMPLETEPAPER-1283575_Q	Bacteriocin production and inhibition of Listeria monocytogenes by Lactobacillus sakei subsp
COMPLETEPAPER-1289650_Q	MAPK pathway activation by chronic lead-exposure increases vascular reactivity through oxidative stress/cyclooxygenase-2-dependent pathways
COMPLETEPAPER-1289651_Q	SERCA-2a is involved in the right ventricular function following myocardial infarction in rats
COMPLETEPAPER-1291523_Q	Bioactivity of a matrine-based biopesticide against four pest species of agricultural importance
COMPLETEPAPER-1295055_Q	Determination of lymphocyte subset reference ranges in peripheral blood of healthy adults by a dual-platform flow cytometry method
COMPLETEPAPER-1295149_Q	Off-line TMAH-GC/MS and NMR characterization of humic substances extracted from river sediments of northwestern Sao Paulo under different soil uses
COMPLETEPAPER-1298137_Q	CXCL12/CXCR4 axis in the pathogenesis of acute lymphoblastic leukemia (ALL): a possible therapeutic target
COMPLETEPAPER-1298216_Q	Pinealectomy interferes with the circadian clock genes expression in white adipose tissue
COMPLETEPAPER-1299068_Q	Derivative-free methods applied to daily production optimization of gas-lifted oil fields
COMPLETEPAPER-1308105_Q	Maternal low-protein diet induces changes in the cardiovascular autonomic modulation in male rat offspring
COMPLETEPAPER-1308157_Q	Biomechanical variables and perception of comfort in running shoes with different cushioning technologies
COMPLETEPAPER-1309207_Q	Classification of food vegetable oils by fluorimetry and artificial neural networks
COMPLETEPAPER-1311964_Q	Banana (Musa spp) from peel to pulp: Ethnopharmacology
COMPLETEPAPER-1313360_Q	Human Impacts Affect Tree Community Features of 20 Forest Fragments of a Vanishing Neotropical Hotspot
COMPLETEPAPER-1315130_Q	Erosion rates and landscape evolution of the lowlands of the Upper Paraguay river basin (Brazil) from cosmogenic 10Be
COMPLETEPAPER-1321263_Q	Compact stars with a small electric charge: the limiting radius to mass relation and the maximum mass for incompressible matter
COMPLETEPAPER-1342085_Q	Achira as a source of biodegradable materials: Isolation and characterization of nanofibers
COMPLETEPAPER-1344252_Q	Biodiversity of endophytic fungi in different leaf ages of Calotropis procera and their antimicrobial activity
COMPLETEPAPER-1347574_Q	Ultrasound (US) enhances the hydration of sorghum (Sorghum bicolor) grains
COMPLETEPAPER-1356591_Q	Sharp constant and extremal function for weighted Trudinger-Moser type inequalities in R2
COMPLETEPAPER-1358493_Q	Polyhydroxybutyrate-co-hydroxyvalerate structures loaded with adipose stem cells promote skin healing with reduced scarring
COMPLETEPAPER-1359741_Q	Differentiation of Leishmania species by FT-IR spectroscopy
COMPLETEPAPER-1360235_Q	The number of Sidon sets and the maximum size of Sidon sets contained in a sparse random set of integers
COMPLETEPAPER-1361990_Q	Cardiorespiratory Responses and Prediction of Peak Oxygen Uptake during the Shuttle Walking Test in Healthy Sedentary Adult Men
COMPLETEPAPER-1365165_Q	Orchid bee (Hymenoptera: Apidae: Euglossini) assemblages from three different threatened phytophysiognomies of the subtropical Brazilian Atlantic Forest
COMPLETEPAPER-1365166_Q	Genetic structure of a Neotropical sedentary fish revealed by AFLP
COMPLETEPAPER-1366722_Q	Indirect cytocompatibility of a low-concentration hydrogen peroxide bleaching gel to odontoblast-like cells
COMPLETEPAPER-1366723_Q	IMMEDIATE HUMAN PULP RESPONSE TO ETHANOL-WET BONDING TECHNIQUE
COMPLETEPAPER-1370593_Q	Measuring the solubility product constant of paramagnetic cations using time-domain nuclear magnetic resonance relaxometry
COMPLETEPAPER-1371911_Q	Controlled Mechanochemical Synthesis and Hydrogen Desorption Mechanisms of Nanostructured Mg2CoH5
COMPLETEPAPER-1380404_Q	Sensitive determination of carbendazim in orange juice by electrode modified with hybrid material
COMPLETEPAPER-1380551_Q	What is the best tool for screening antenatal depression?
COMPLETEPAPER-1382740_Q	Total sugars in atmospheric aerosols: An alternative tracer for biomass burning
COMPLETEPAPER-1383566_Q	Comment on -Localization of 5D Elko Spinors on Minkowski Branes-
COMPLETEPAPER-1395562_Q	Effect of Scutia buxifolia Reissek in nucleotidase activities and inhibition of platelet aggregation
COMPLETEPAPER-1405473_Q	New FeFe-hydrogenase genes identified in a metagenomic fosmid library from a municipal wastewater treatment plant as revealed by high-throughput sequencing
COMPLETEPAPER-1405474_Q	Genomic and chemical insights into biosurfactant production by the mangrove-derived strain Bacillus safensis CCMA-560
COMPLETEPAPER-1410634_Q	Physicochemical Stability of Diet Umbu-Caja Jams Stored under Ambient Conditions
COMPLETEPAPER-1412063_Q	Performance of DSSAT CSM-CANEGRO Under Operational Conditions and its Use in Determining the -Saving Irrigation  Impact on Sugarcane Crop
COMPLETEPAPER-1414192_Q	Bioactive endophytic fungi isolated from Caesalpinia echinata Lam
COMPLETEPAPER-1414644_Q	Life Cycle Inventory for the Agricultural Stages of Soybean Production in the State of Rio Grande do Sul
COMPLETEPAPER-1414646_Q	Biodiesel Production from High FFA Degummed Rice Bran Oil by a Two-Step Process Using Ethanol/Methanol and a Green Catalyst
COMPLETEPAPER-1415006_Q	Invasion of an Amazonian cichlid in the Upper Parana River: facilitation by dams and decline of a phylogenetically related species
COMPLETEPAPER-1415007_Q	Spatio-temporal organization patterns in the fish assemblages of a Neotropical floodplain
COMPLETEPAPER-1415008_Q	Fish farming as the main driver of fish introductions in Neotropical reservoirs
COMPLETEPAPER-1415009_Q	Eating the competitor: a mechanism of invasion
COMPLETEPAPER-1415010_Q	Ecological and life history traits of Hemiodus orthonops in the invasion process: looking for clues at home
COMPLETEPAPER-1415011_Q	Fish fauna disassembly after the introduction of a voracious predator: main drivers and the role of the invader&#146;s demography
COMPLETEPAPER-1416292_Q	Chemical composition and acaricidal activity of the essential oil of Baccharis dracunculifolia De Candole (1836) and its constituents nerolidol and limonene on larvae and engorged females of Rhipicephalus microplus (Acari: Ixodidae)
COMPLETEPAPER-1420953_Q	Fate of toxic cyanobacterial genera from natural bloom events during ozonation
COMPLETEPAPER-1422300_Q	The assemblage composition and structure of swimming crabs (Portunoidea) in continental shelf waters of southeastern Brazil
COMPLETEPAPER-1422987_Q	Copper nanoparticles stabilized by reduced graphene oxide for CO2 reduction reaction
COMPLETEPAPER-1423060_Q	Functional and phylogenetic diversity of scattered trees in an agricultural landscape: Implications for conservation
COMPLETEPAPER-1423062_Q	Deriving Vegetation Indices for Phenology Analysis usingGenetic Programming
COMPLETEPAPER-1426392_Q	The breast cancer immunophenotype of TP53-p
COMPLETEPAPER-1436104_Q	Load-bearing capacity and its relationships with the physical and mechanical attributes of cohesive soil
COMPLETEPAPER-1446173_Q	Maternal nicotine exposure leads to higher liver oxidative stress and steatosis in adult rat offspring
COMPLETEPAPER-1447208_Q	Adult exposure to bisphenol A (BPA) in Wistar rats reduces sperm quality with disruption of the hypothalamic&#45;pituitary&#45;testicular axis
COMPLETEPAPER-1448129_Q	From Metabolomics to Fluxomics: A Computational Procedure to Translate Metabolite Profiles into Metabolic Fluxes
COMPLETEPAPER-1448962_Q	Tillage systems effects on soil carbon stock and physical fractions of soil organic matter
COMPLETEPAPER-1451720_Q	G1P[8] species A rotavirus over 27years - Pre- and post-vaccination eras - in Brazil: Full genomic constellation analysis and no evidence for selection pressure by Rotarix  vaccine
COMPLETEPAPER-1452924_Q	Magnetic hysteresis properties and 57Fe Mossbauer spectroscopy of iron and stony-iron meteorites: implications for mineralogy and thermal history
COMPLETEPAPER-1452972_Q	Effect of pollution by particulate iron on the morphoanatomy
COMPLETEPAPER-1454206_Q	Rainfall and river flow trends using Mann&#45;Kendall and Sen&#146;s slope estimator statistical tests in the Cobres River basin
COMPLETEPAPER-1457789_Q	Human Cardiac Function Simulator for the Optimal Design of a Novel Annuloplasty Ring with a Sub-valvular Element for Correction of Ischemic Mitral Regurgitation
COMPLETEPAPER-1458413_Q	Exercise improves endothelial function: A local analysis of production of nitric oxide and reactive oxygen species
COMPLETEPAPER-1458527_Q	ANTIMICROBIAL PHOTODYNAMIC INACTIVATION OF Staphylococcus aureus BIOFILMS IN BONE SPECIMENS USING METHYLENE BLUE
COMPLETEPAPER-1458907_Q	Mythbusting evolutionary issues on South American Gomphotheriidae (Mammalia: Proboscidea)
COMPLETEPAPER-1467079_Q	Production of montmorillonite/polypyrrole nanocomposites through in situ oxidative polymerization of pyrrole: Effect of anionic and cationic surfactants on structure and properties
COMPLETEPAPER-1469084_Q	Montelukast potentiates the anticonvulsant effect of phenobarbital in mice: An isobolographic analysis
COMPLETEPAPER-1472308_Q	Water distribution in dentin matrices: Bound vs
COMPLETEPAPER-1474889_Q	Fipronil promotes motor and behavioral changes in honey bees (              <i>Apis mellifera</i>              ) and affects the development of colonies exposed to sublethal doses
COMPLETEPAPER-1475187_Q	Temperature effects on body size of freshwater crustacean zooplankton from Greenland to the tropics
COMPLETEPAPER-1477678_Q	Acid-catalyzed transesterification and esterification in methanol: a theoretical cluster-continuum investigation of the mechanisms and free energy barriers
COMPLETEPAPER-1481312_Q	Fabrication of transparent and ultraviolet shielding composite films based on graphene oxide and cellulose acetate
